,State,NAPCS School ID,NCES ID,School Name,ModCount,Virtual Flag,Locale,Address,City,County,ZIP,Latitude,Longitude,nearest_tc,distance
0,AL,C0116001,10019702432,ACCELERATION DAY AND EVENING ACADEMY,1,(blank),Urban,3100 Cottage Hill Rd,Mobile,Mobile County,36606,30.668685,-88.119883,USA Health University Hospital,2.9527577930838453
1,AL,C0119001,10020302470,Lead Academy,1,No,Urban,2897 Eastern Blvd,Montgomery,Montgomery County,36116,32.341405,-86.223619,Baptist Medical Center South,3.2940455813789185
2,AL,C0119002,10020102472,Legacy Prep,1,No,Urban,1500 Daniel Payne Drive,Birmingham,Jefferson County,35214,33.553991,-86.872386,University of Alabama Hospital,5.142440122361393
3,AL,C0119004,10020402476,I3 ACADEMY,1,(blank),Urban,55th Place 1st Avenue South,Birmingham,Jefferson County,35121,33.540175,-86.751568,University of Alabama Hospital,3.778940008574977
4,AR,C0501001,50005500513,Benton County School Of Arts,1,No,Urban,2005 S 12Th St,Rogers,Benton County,72758,36.307773,-94.132867,Mercy Hospital Joplin,54.500134322865506
5,AR,C0501004,50005900603,Maumelle Charter Elementary (Formerly Academics Plus),1,No,Suburban,900 Edgewood Dr,Maumelle,Pulaski County,72113,34.865283,-92.405,Baptist Health Medical Center-Little Rock,8.460593233727332
6,AR,C0501005,50005900741,Maumelle Charter High School (Formerlyacademics Plus High),4,No,Suburban,900 Edgewood Dr,Maumelle,Pulaski County,72113,34.865283,-92.405,Baptist Health Medical Center-Little Rock,8.460593233727332
7,AR,C0502002,50006100658,Imboden Area Charter School,1,No,Rural,605 W 3Rd St,Imboden,Lawrence County,72434,36.203699,-91.177364,Regional One Health,97.51191086624803
8,AR,C0502003,50006200659,KIPP: Delta College Preparatory - Cherry St,1,No,Town,215 Cherry St,Helena,Phillips County,72342,34.524,-90.5864,Regional One Health,53.06056818123562
9,AR,C0504001,50375001019,Arkansas School For Info Sys & Technology,1,No,Suburban,21 Funtastic Dr,Cabot,Lonoke County,72023,34.94067,-92.026551,UAMS Medical Center,21.321053604802184
10,AR,C0504002,50007801078,Haas Hall Academy - N College Ave,1,No,Urban,3155 N College Ave Ste 108,Fayetteville,Washington County,72703,36.10872,-94.145601,Cox Medical Center Branson,63.60993510730029
11,AR,C0504004,50007401030,Lisa Academy - Corporate Dr,1,No,Urban,21 Corporate Hill Dr,Little Rock,PULASKI,72205,34.75085,-92.38744,Baptist Health Medical Center-Little Rock,0.5733053257066865
12,AR,C0505003,50007401107,Lisa Academy High,4,No,Urban,21 Corporate Hill Dr,Little Rock,PULASKI,72205,34.75085,-92.38744,Baptist Health Medical Center-Little Rock,0.5733053257066865
13,AR,C0507006,50039401461,Arkansas Virtual Academy,1,Yes,Urban,10802 Executive Ctr Dr Ste 205,Little Rock,Pulaski County,72211,34.739832,-92.395275,Baptist Health Medical Center-Little Rock,0.8673787989090529
14,AR,C0507007,50039401447,Arkansas Virtual Academy - Middle School,4,Yes,Urban,10802 Executive Ctr Dr Ste 205,Little Rock,Pulaski County,72211,34.739832,-92.395275,Baptist Health Medical Center-Little Rock,0.8673787989090529
15,AR,C0507008,50039401604,Arkansas Virtual Academy - Elementary School,4,Yes,Urban,4702 W Commercial Dr Ste B3,North Little Rock,Pulaski County,72116,34.79669,-92.221161,UAMS Medical Center,6.560818752423222
16,AR,C0507009,50006201451,KIPP: Delta College Prep High School,1,No,Town,320 Missouri St,Helena,Phillips County,72342,34.522587,-90.588586,Regional One Health,53.21285326544643
17,AR,C0508002,50039801470,ESTEM PUBLIC CHARTER HIGH SCHOOL,4,(blank),Urban,112  W Third St  3Rd Flr,Little Rock,Pulaski County,72201,34.74661,-92.271384,UAMS Medical Center,2.811919684301744
18,AR,C0509001,50005501508,Benton County School Of Arts H.S.,1,No,Urban,506 Popular St,Rogers,Benton County,72756,36.33092,-94.12191,Mercy Hospital Joplin,53.26704561066604
19,AR,C0509005,50006201513,KIPP: Delta Elementary Literacy Academy,4,No,Town,210 Cherry St,Helena,Phillips County,72342,34.523873,-90.586162,Regional One Health,53.059653939022425
20,AR,C0509006,50040201504,Jacksonville Lighthouse - Elementary,1,No,Suburban,251 N First St,Jacksonville,Pulaski County,72076,34.86871,-92.108381,UAMS Medical Center,14.633443785655112
21,AR,C0509010,50774001509,Cross County Elementary,1,No,Rural,2622 Hwy 42,Cherry Valley,Cross County,72324,35.402214,-90.811225,Regional One Health,47.478606554709785
22,AR,C0510002,50006201526,KIPP Blytheville College Prep,1,No,Town,1007 S Franklin St,Blytheville,Mississippi County,72315,35.918564,-89.900928,Regional One Health,54.120589562153455
23,AR,C0511001,50774001537,CROSS COUNTY HIGH SCHOOL,4,No,Rural,21 County Rd 215,Cherry Valley,Cross County,72324,35.40422,-90.806609,Regional One Health,47.28994082208118
24,AR,C0511002,50040601541,Pine Bluff Lighthouse Charter School,1,No,Urban,708 W Second St,Pine Bluff,Jefferson County,71601,34.22823,-92.009911,Jefferson Regional Medical Center,2.771462674697883
25,AR,C0511003,50040701539,Sia Tech Little Rock,1,No,Urban,6900 Scott Hamilton Rd,Little Rock,Pulaski County,72209,34.68652,-92.318151,UAMS Medical Center,4.293583165256636
26,AR,C0511004,50040201531,Jacksonville Lighthouse Flightline Upper Academy Campus,1,No,Suburban,Lrafb-Bldg 1030,Jacksonville,Pulaski County,72076,34.869078,-92.109305,UAMS Medical Center,14.604749097870569
